,iic,n_iic,label,prior
GO:2000265,13.822769974444292,1.0,"positive regulation of blood coagulation, extrinsic pathway",BIOP
GO:0031453,13.659271242161413,0.9881717823138809,positive regulation of heterochromatin formation,BIOP
GO:0048078,13.822769974444292,1.0,positive regulation of compound eye pigmentation,BIOP
GO:0038019,13.822769974444292,1.0,Wnt receptor recycling,BIOP
GO:0120062,13.822769974444292,1.0,positive regulation of gastric emptying,BIOP
GO:0060784,13.822769974444292,1.0,regulation of cell proliferation involved in tissue homeostasis,BIOP
GO:0007086,13.822769974444292,1.0,vesicle fusion with nuclear membrane involved in mitotic nuclear envelope reassembly,BIOP
GO:0035076,13.822769974444292,1.0,ecdysone receptor signaling pathway,BIOP
GO:0071108,13.822769974444292,1.0,protein K48-linked deubiquitination,BIOP
GO:0008210,13.581761874940497,0.9825644136486845,estrogen metabolic process,BIOP
GO:0035234,13.822769974444292,1.0,ectopic germ cell programmed cell death,BIOP
GO:0003328,13.822769974444292,1.0,pancreatic D cell fate commitment,BIOP
GO:0032241,13.085804380278086,0.9466846662768232,positive regulation of nucleobase-containing compound transport,BIOP
GO:0002867,13.481733056609224,0.9753278888048068,regulation of B cell deletion,BIOP
GO:0097527,13.822769974444292,1.0,necroptotic signaling pathway,BIOP
GO:0001059,13.822769974444292,1.0,transcription by RNA polymerase IV,BIOP
GO:0048324,13.600377553107844,0.9839111537161068,regulation of axial mesodermal cell fate determination,BIOP
GO:1990575,13.822769974444292,1.0,mitochondrial L-ornithine transmembrane transport,BIOP
GO:1903112,13.822769974444292,1.0,positive regulation of single-strand break repair via homologous recombination,BIOP
GO:0002010,13.822769974444292,1.0,excitation of vasomotor center by baroreceptor signaling,BIOP
GO:0022008,13.407732475165448,0.9699743611413508,neurogenesis,BIOP
GO:1902119,13.685266450694357,0.9900523900778098,regulation of meiotic spindle elongation,BIOP
GO:0170041,10.859295850469406,0.7856092426153518,non-proteinogenic amino acid metabolic process,BIOP
GO:0046381,13.723234300893377,0.9927991514193655,CMP-N-acetylneuraminate metabolic process,BIOP
GO:2000237,13.773860373963345,0.9964616642994587,positive regulation of tRNA processing,BIOP
GO:0035443,13.523209692585384,0.9783284911481028,tripeptide transmembrane transport,BIOP
GO:1905902,13.33734314727405,0.9648820874493531,regulation of mesoderm formation,BIOP
GO:0009892,7.623097629607927,0.5514884240786474,negative regulation of metabolic process,BIOP
GO:0043691,13.822769974444292,1.0,reverse cholesterol transport,BIOP
GO:0010083,13.822769974444292,1.0,regulation of vegetative meristem growth,BIOP
GO:0032288,13.533263357249307,0.9790558174859143,myelin assembly,BIOP
GO:0120314,13.822769974444292,1.0,negative regulation of oocyte karyosome formation,BIOP
GO:1902214,13.581761874940497,0.9825644136486845,regulation of interleukin-4-mediated signaling pathway,BIOP
GO:1904033,13.822769974444292,1.0,negative regulation of t-SNARE clustering,BIOP
GO:0060148,13.630124896501895,0.9860632074252439,positive regulation of post-transcriptional gene silencing,BIOP
GO:0001555,13.685266450694357,0.9900523900778098,oocyte growth,BIOP
GO:1901179,13.822769974444292,1.0,spheroidene catabolic process,BIOP
GO:0045612,13.559735568610497,0.9809709337332463,positive regulation of hemocyte differentiation,BIOP
GO:0090340,13.822769974444292,1.0,positive regulation of secretion of lysosomal enzymes,BIOP
GO:0009156,13.026303368529424,0.9423801012830725,ribonucleoside monophosphate biosynthetic process,BIOP
GO:0000365,13.65284497300198,0.9877068777273679,"mRNA trans splicing, via spliceosome",BIOP
GO:1901183,13.822769974444292,1.0,positive regulation of camalexin biosynthetic process,BIOP
GO:0003263,13.822769974444292,1.0,cardioblast proliferation,BIOP
GO:0014916,13.33734314727405,0.9648820874493531,regulation of lung blood pressure,BIOP
GO:1990488,13.822769974444292,1.0,anaerobic cellulose catabolic process,BIOP
GO:0035459,12.974773067889341,0.9386521726019649,vesicle cargo loading,BIOP
GO:0060243,13.822769974444292,1.0,negative regulation of cell growth involved in contact inhibition,BIOP
GO:0031146,13.822769974444292,1.0,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,BIOP
GO:0061753,13.822769974444292,1.0,substrate localization to autophagosome,BIOP
GO:0039520,13.822769974444292,1.0,induction by virus of host autophagy,BIOP
GO:1904127,13.581761874940497,0.9825644136486845,regulation of convergent extension involved in somitogenesis,BIOP
GO:0034128,13.822769974444292,1.0,negative regulation of MyD88-independent toll-like receptor signaling pathway,BIOP
GO:0042491,13.822769974444292,1.0,inner ear auditory receptor cell differentiation,BIOP
GO:2000463,13.761369429780148,0.9955580144372176,positive regulation of excitatory postsynaptic potential,BIOP
GO:0097646,13.122330256303199,0.9493271088619666,calcitonin family receptor signaling pathway,BIOP
GO:0050968,13.822769974444292,1.0,detection of chemical stimulus involved in sensory perception of pain,BIOP
GO:0007596,13.822769974444292,1.0,blood coagulation,BIOP
GO:1901711,13.822769974444292,1.0,negative regulation of homoserine biosynthetic process,BIOP
GO:0046824,13.237807473723135,0.9576812388687187,positive regulation of nucleocytoplasmic transport,BIOP
GO:0072119,13.822769974444292,1.0,head kidney structural organization,BIOP
GO:0014726,13.822769974444292,1.0,negative regulation of extraocular skeletal muscle development,BIOP
GO:0000729,13.292255257745511,0.9616202311345987,DNA double-strand break processing,BIOP
GO:0032272,13.275282179141799,0.9603923239470312,negative regulation of protein polymerization,BIOP
GO:0060085,13.822769974444292,1.0,smooth muscle relaxation of the bladder outlet,BIOP
GO:0042670,13.822769974444292,1.0,retinal cone cell differentiation,BIOP
GO:0001195,13.822769974444292,1.0,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III,BIOP
GO:1904147,13.50084187955693,0.9767103051354724,response to nonylphenol,BIOP
GO:0039592,13.822769974444292,1.0,symbiont-mediated arrest of host cell cycle during G2/M transition,BIOP
GO:0035440,13.822769974444292,1.0,tuberculosinol biosynthetic process,BIOP
GO:0048708,13.460199895059583,0.9737700851526118,astrocyte differentiation,BIOP
GO:1902519,13.822769974444292,1.0,response to docetaxel trihydrate,BIOP
GO:1990414,13.822769974444292,1.0,replication-born double-strand break repair via sister chromatid exchange,BIOP
GO:0060986,12.775464259665934,0.9242332964583344,endocrine hormone secretion,BIOP
GO:0019235,13.822769974444292,1.0,sensory perception of slow pain,BIOP
GO:0002697,9.078608878873881,0.6567865120853871,regulation of immune effector process,BIOP
GO:0045618,13.822769974444292,1.0,positive regulation of keratinocyte differentiation,BIOP
GO:2000720,13.822769974444292,1.0,"positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric",BIOP
GO:0071462,13.559735568610497,0.9809709337332463,cellular response to water stimulus,BIOP
GO:1905887,13.822769974444292,1.0,autoinducer AI-2 transmembrane transport,BIOP
GO:0045686,13.591444428337836,0.9832648921645855,negative regulation of glial cell differentiation,BIOP
GO:0042628,13.822769974444292,1.0,mating plug formation,BIOP
GO:1905558,13.822769974444292,1.0,negative regulation of mitotic nuclear envelope disassembly,BIOP
GO:1903642,12.822769974444292,0.9276556000100694,regulation of recombination hotspot binding,BIOP
GO:0003015,13.33734314727405,0.9648820874493531,heart process,BIOP
GO:0070957,13.822769974444292,1.0,negative regulation of neutrophil mediated killing of gram-negative bacterium,BIOP
GO:0045665,12.884170519108435,0.9320975855728518,negative regulation of neuron differentiation,BIOP
GO:0044281,5.712939320165498,0.41329916729625477,small molecule metabolic process,BIOP
GO:0052029,11.822769974444292,0.8553112000201389,symbiont-mediated suppression of host signal transduction pathway,BIOP
GO:0009199,12.275282179141799,0.8880479239571007,ribonucleoside triphosphate metabolic process,BIOP
GO:0035461,12.574842461000706,0.9097194328089978,vitamin transmembrane transport,BIOP
GO:0030488,13.134713980759033,0.9502230019773645,tRNA methylation,BIOP
GO:0006778,11.286717074204082,0.8165307745893988,porphyrin-containing compound metabolic process,BIOP
GO:1900228,13.460199895059583,0.9737700851526118,regulation of single-species biofilm formation in or on host organism,BIOP
GO:0044843,13.559735568610497,0.9809709337332463,cell cycle G1/S phase transition,BIOP
GO:0097026,13.822769974444292,1.0,dendritic cell dendrite assembly,BIOP
GO:0060882,13.822769974444292,1.0,basement membrane disassembly involved in semicircular canal fusion,BIOP
GO:0141074,13.822769974444292,1.0,symbiont-mediated suppression of host cGAS-STING signal transduction,BIOP
GO:0071071,12.822769974444292,0.9276556000100694,regulation of phospholipid biosynthetic process,BIOP
GO:0060439,13.822769974444292,1.0,trachea morphogenesis,BIOP
GO:0051239,5.952405254860887,0.4306231866598205,regulation of multicellular organismal process,BIOP
GO:0033228,13.822769974444292,1.0,cysteine export across plasma membrane,BIOP
GO:0097267,13.822769974444292,1.0,omega-hydroxylase P450 pathway,BIOP
GO:0140029,10.948300856528151,0.7920482563747718,exocytic process,BIOP
GO:0035502,13.822769974444292,1.0,metanephric part of ureteric bud development,BIOP
GO:1905807,13.707292757024357,0.9916458699932481,negative regulation of synapse pruning,BIOP
GO:0009725,10.363338355806995,0.7497294952434905,response to hormone,BIOP
GO:0002543,13.822769974444292,1.0,activation of blood coagulation via clotting cascade,BIOP
GO:2001030,13.822769974444292,1.0,negative regulation of cellular glucuronidation,BIOP
GO:1903384,13.822769974444292,1.0,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,BIOP
GO:1902906,13.822769974444292,1.0,proteasome storage granule assembly,BIOP
GO:0048885,13.616319096976866,0.9850644351422244,neuromast deposition,BIOP
GO:0140724,13.822769974444292,1.0,positive regulation of patulin biosynthetic process,BIOP
GO:0060738,13.822769974444292,1.0,epithelial-mesenchymal signaling involved in prostate gland development,BIOP
GO:0046950,13.33734314727405,0.9648820874493531,cellular ketone body metabolic process,BIOP
GO:0019305,13.822769974444292,1.0,dTDP-rhamnose biosynthetic process,BIOP
GO:0046182,13.822769974444292,1.0,L-idonate biosynthetic process,BIOP
GO:2000907,13.822769974444292,1.0,negative regulation of glucomannan catabolic process,BIOP
GO:0048694,13.822769974444292,1.0,positive regulation of collateral sprouting of injured axon,BIOP
GO:0090650,13.822769974444292,1.0,cellular response to oxygen-glucose deprivation,BIOP
GO:0035762,13.822769974444292,1.0,dorsal motor nucleus of vagus nerve morphogenesis,BIOP
GO:1905901,13.822769974444292,1.0,positive regulation of smooth muscle tissue development,BIOP
GO:0052460,13.600377553107844,0.9839111537161068,modulation of nutrient release by symbiont,BIOP
GO:0010656,13.600377553107844,0.9839111537161068,negative regulation of muscle cell apoptotic process,BIOP
GO:0071456,13.822769974444292,1.0,cellular response to hypoxia,BIOP
GO:0002353,13.822769974444292,1.0,plasma kallikrein-kinin cascade,BIOP
GO:0031279,10.50084187955693,0.7596771051656808,regulation of cyclase activity,BIOP
GO:1903248,13.616319096976866,0.9850644351422244,regulation of citrulline biosynthetic process,BIOP
GO:0010244,13.822769974444292,1.0,response to low fluence blue light stimulus by blue low-fluence system,BIOP
GO:0070462,13.822769974444292,1.0,plus-end specific microtubule depolymerization,BIOP
GO:0032796,13.460199895059583,0.9737700851526118,uropod organization,BIOP
GO:0071030,13.822769974444292,1.0,nuclear mRNA surveillance of spliceosomal pre-mRNA splicing,BIOP
GO:0031134,13.559735568610497,0.9809709337332463,sister chromatid biorientation,BIOP
GO:0009830,13.630124896501895,0.9860632074252439,cell wall modification involved in abscission,BIOP
GO:0034635,13.523209692585384,0.9783284911481028,glutathione transport,BIOP
GO:0035903,13.822769974444292,1.0,cellular response to immobilization stress,BIOP
GO:0106230,13.822769974444292,1.0,protein depropionylation,BIOP
GO:1904776,13.185340053829,0.9538855148574577,regulation of protein localization to cell cortex,BIOP
GO:0150141,13.822769974444292,1.0,negative regulation of CD86 production,BIOP
GO:0044067,13.600377553107844,0.9839111537161068,symbiont-mediated perturbation of host cell-cell junction,BIOP
GO:0006581,13.630124896501895,0.9860632074252439,acetylcholine catabolic process,BIOP
GO:0006112,13.407732475165448,0.9699743611413508,energy reserve metabolic process,BIOP
GO:0052644,13.822769974444292,1.0,chlorophyllide a metabolic process,BIOP
GO:1904460,13.772143901374324,0.9963374871199069,positive regulation of substance P secretion,BIOP
GO:0071316,13.822769974444292,1.0,cellular response to nicotine,BIOP
GO:0034174,13.822769974444292,1.0,toll-like receptor 12 signaling pathway,BIOP
GO:0003144,13.630124896501895,0.9860632074252439,embryonic heart tube formation,BIOP
GO:0060960,13.822769974444292,1.0,cardiac neuron fate commitment,BIOP
GO:1905505,13.822769974444292,1.0,positive regulation of motile cilium assembly,BIOP
GO:1901679,12.889884170302828,0.9325109362402619,nucleotide transmembrane transport,BIOP
GO:1990922,13.822769974444292,1.0,hepatic stellate cell proliferation,BIOP
GO:1990896,13.697239092360434,0.9909185436554365,protein localization to cell cortex of cell tip,BIOP
GO:0052001,13.822769974444292,1.0,adhesion to host cell via type IV pili,BIOP
GO:0030853,13.670766880999242,0.9890034274081045,negative regulation of granulocyte differentiation,BIOP
GO:0035186,13.822769974444292,1.0,syncytial blastoderm mitotic cell cycle,BIOP
GO:0106027,13.04516239578074,0.9437444462939626,neuron projection organization,BIOP
GO:0032193,13.822769974444292,1.0,ubiquinone biosynthetic process via 2-polyprenylphenol,BIOP
GO:0071040,13.822769974444292,1.0,nuclear polyadenylation-dependent antisense transcript catabolic process,BIOP
GO:0002497,13.822769974444292,1.0,proteasomal proteolysis associated with antigen processing and presentation,BIOP
GO:0070249,13.822769974444292,1.0,positive regulation of natural killer cell apoptotic process,BIOP
GO:0002259,13.822769974444292,1.0,endothelial cell activation within high endothelial venule involved in immune response,BIOP
GO:0006639,12.735307133193952,0.9213281532383991,acylglycerol metabolic process,BIOP
GO:0050432,13.353284691143072,0.9660353688754707,catecholamine secretion,BIOP
GO:0044480,13.822769974444292,1.0,envenomation resulting in positive regulation of mast cell degranulation in another organism,BIOP
GO:0060235,13.822769974444292,1.0,lens induction in camera-type eye,BIOP
GO:1990145,13.822769974444292,1.0,maintenance of translational fidelity,BIOP
GO:1903087,13.822769974444292,1.0,mitotic spindle pole body duplication,BIOP
GO:0032255,13.685266450694357,0.9900523900778098,maintenance of secretory granule location,BIOP
GO:0045429,13.822769974444292,1.0,positive regulation of nitric oxide biosynthetic process,BIOP
GO:2000208,13.822769974444292,1.0,positive regulation of ribosomal small subunit export from nucleus,BIOP
GO:1900487,13.50084187955693,0.9767103051354724,regulation of [2Fe-2S] cluster assembly,BIOP
GO:0045346,13.581761874940497,0.9825644136486845,regulation of MHC class II biosynthetic process,BIOP
GO:2000099,13.237807473723135,0.9576812388687187,regulation of establishment or maintenance of bipolar cell polarity,BIOP
GO:0051238,12.237807473723135,0.8853368388787881,sequestering of metal ion,BIOP
GO:0031644,11.65284497300198,0.8430180777475067,regulation of nervous system process,BIOP
GO:2000604,13.822769974444292,1.0,negative regulation of secondary growth,BIOP
GO:2001172,13.822769974444292,1.0,positive regulation of glycolytic fermentation to ethanol,BIOP
GO:0048681,13.57765747660776,0.982267483413983,negative regulation of axon regeneration,BIOP
GO:0015858,12.735307133193952,0.9213281532383991,nucleoside transport,BIOP
GO:0044407,13.822769974444292,1.0,single-species biofilm formation in or on host organism,BIOP
GO:0006962,13.822769974444292,1.0,male-specific antibacterial humoral response,BIOP
GO:1901949,13.822769974444292,1.0,"5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate biosynthetic process",BIOP
GO:0030839,13.559735568610497,0.9809709337332463,regulation of intermediate filament polymerization,BIOP
GO:0043299,13.33734314727405,0.9648820874493531,leukocyte degranulation,BIOP
GO:0048648,13.237807473723135,0.9576812388687187,caste determination,BIOP
GO:0008587,13.822769974444292,1.0,imaginal disc-derived wing margin morphogenesis,BIOP
GO:1904141,13.822769974444292,1.0,positive regulation of microglial cell migration,BIOP
GO:1904582,13.559735568610497,0.9809709337332463,positive regulation of intracellular mRNA localization,BIOP
GO:0032605,13.822769974444292,1.0,hepatocyte growth factor production,BIOP
GO:0015810,13.51791539291587,0.977945478215145,aspartate transmembrane transport,BIOP
GO:0036471,13.822769974444292,1.0,cellular response to glyoxal,BIOP
GO:0072076,13.822769974444292,1.0,nephrogenic mesenchyme development,BIOP
GO:0120272,13.822769974444292,1.0,"positive regulation of nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts",BIOP
GO:0035909,13.460199895059583,0.9737700851526118,aorta morphogenesis,BIOP
GO:1903608,13.822769974444292,1.0,protein localization to cytoplasmic stress granule,BIOP
GO:0039563,13.822769974444292,1.0,symbiont-mediated suppression of host JAK-STAT cascade via inhibition of STAT1 activity,BIOP
GO:0048780,13.822769974444292,1.0,positive regulation of erythrophore differentiation,BIOP
GO:1903222,13.822769974444292,1.0,quinolinic acid transmembrane transport,BIOP
GO:0006220,11.848765182977237,0.857191807784068,pyrimidine nucleotide metabolic process,BIOP
GO:0035429,13.723234300893377,0.9927991514193655,gluconate transmembrane transport,BIOP
GO:1902013,13.630124896501895,0.9860632074252439,poly(glycerol phosphate) teichoic acid metabolic process,BIOP
GO:0051000,13.822769974444292,1.0,positive regulation of nitric-oxide synthase activity,BIOP
GO:0033488,13.822769974444292,1.0,"cholesterol biosynthetic process via 24,25-dihydrolanosterol",BIOP
GO:1904410,13.822769974444292,1.0,negative regulation of secretory granule organization,BIOP
GO:0005984,11.986268706727172,0.8671394177062581,disaccharide metabolic process,BIOP
GO:0018955,13.33734314727405,0.9648820874493531,phenanthrene metabolic process,BIOP
GO:0070415,13.822769974444292,1.0,trehalose metabolism in response to cold stress,BIOP
GO:1900844,13.822769974444292,1.0,negative regulation of monodictyphenone biosynthetic process,BIOP
GO:0015910,13.822769974444292,1.0,long-chain fatty acid import into peroxisome,BIOP
GO:0001752,13.185340053829,0.9538855148574577,compound eye photoreceptor fate commitment,BIOP
GO:0003250,13.460199895059583,0.9737700851526118,regulation of cell proliferation involved in heart valve morphogenesis,BIOP
GO:0035655,13.822769974444292,1.0,interleukin-18-mediated signaling pathway,BIOP
GO:0071585,13.50084187955693,0.9767103051354724,detoxification of cadmium ion,BIOP
GO:0036377,13.822769974444292,1.0,arbuscular mycorrhizal association,BIOP
GO:0043696,12.822769974444292,0.9276556000100694,dedifferentiation,BIOP
GO:0016092,13.822769974444292,1.0,prenol catabolic process,BIOP
GO:1900468,13.662305302251045,0.9883912795705987,regulation of phosphatidylserine biosynthetic process,BIOP
GO:0070152,13.822769974444292,1.0,mitochondrial isoleucyl-tRNA aminoacylation,BIOP
GO:1903846,13.670766880999242,0.9890034274081045,positive regulation of cellular response to transforming growth factor beta stimulus,BIOP
GO:0071966,13.237807473723135,0.9576812388687187,fungal-type cell wall polysaccharide metabolic process,BIOP
GO:0085016,13.822769974444292,1.0,dormancy exit of symbiont in host,BIOP
GO:0061331,13.822769974444292,1.0,epithelial cell proliferation involved in Malpighian tubule morphogenesis,BIOP
GO:1905408,13.822769974444292,1.0,negative regulation of creatine transmembrane transporter activity,BIOP
GO:1902059,13.72966057005281,0.9932640560058784,negative regulation of sporocarp development involved in sexual reproduction,BIOP
GO:1900236,13.822769974444292,1.0,positive regulation of Kit signaling pathway,BIOP
GO:0021697,13.822769974444292,1.0,cerebellar cortex formation,BIOP
GO:0070897,13.444258351190562,0.9726168037264943,transcription preinitiation complex assembly,BIOP
GO:2000260,13.719676481480189,0.9925417631086458,"regulation of blood coagulation, common pathway",BIOP
GO:0072583,13.33734314727405,0.9648820874493531,clathrin-dependent endocytosis,BIOP
GO:0021642,13.822769974444292,1.0,trochlear nerve formation,BIOP
GO:0070431,13.822769974444292,1.0,nucleotide-binding oligomerization domain containing 2 signaling pathway,BIOP
GO:0060300,11.50084187955693,0.8320215051556112,regulation of cytokine activity,BIOP
GO:1904320,13.822769974444292,1.0,positive regulation of smooth muscle contraction involved in micturition,BIOP
GO:0075000,13.822769974444292,1.0,response to host osmotic environment,BIOP
GO:0010191,12.363338355806995,0.8944182952233516,mucilage metabolic process,BIOP
GO:0022414,5.91287689067425,0.4277635308701548,reproductive process,BIOP
GO:1904987,13.460199895059583,0.9737700851526118,regulation of endothelial cell activation,BIOP
GO:0090603,13.600377553107844,0.9839111537161068,sieve element differentiation,BIOP
GO:0070159,13.822769974444292,1.0,mitochondrial threonyl-tRNA aminoacylation,BIOP
GO:0071709,12.630124896501895,0.9137188074353134,membrane assembly,BIOP
GO:0048304,13.822769974444292,1.0,positive regulation of isotype switching to IgG isotypes,BIOP
GO:0033552,13.630124896501895,0.9860632074252439,response to vitamin B3,BIOP
GO:0032870,11.559735568610497,0.8362821337533851,cellular response to hormone stimulus,BIOP
GO:1905149,13.822769974444292,1.0,positive regulation of smooth muscle hypertrophy,BIOP
GO:0042467,13.822769974444292,1.0,orthokinesis,BIOP
GO:2000611,13.822769974444292,1.0,positive regulation of thyroid hormone generation,BIOP
GO:0014716,13.822769974444292,1.0,skeletal muscle satellite stem cell asymmetric division involved in skeletal muscle regeneration,BIOP
GO:1901065,13.822769974444292,1.0,syringal lignin catabolic process,BIOP
GO:0120187,13.600377553107844,0.9839111537161068,positive regulation of protein localization to chromatin,BIOP
GO:0030214,13.822769974444292,1.0,hyaluronan catabolic process,BIOP
GO:0141082,13.822769974444292,1.0,symbiont-mediated detoxification of host-generated reactive oxygen species,BIOP
GO:0033520,13.772143901374324,0.9963374871199069,phytol biosynthetic process,BIOP
GO:1901455,13.822769974444292,1.0,negative regulation of response to toluene,BIOP
GO:0099173,13.144698069331653,0.9509452948745971,postsynapse organization,BIOP
GO:0080165,13.822769974444292,1.0,callose deposition in phloem sieve plate,BIOP
GO:0033008,13.822769974444292,1.0,positive regulation of mast cell activation involved in immune response,BIOP
GO:0042885,13.822769974444292,1.0,microcin B17 transport,BIOP
GO:1901293,10.763876285390724,0.7787061714324345,nucleoside phosphate biosynthetic process,BIOP
GO:0045913,11.855936838379492,0.8577106368910786,positive regulation of carbohydrate metabolic process,BIOP
GO:0072287,13.822769974444292,1.0,metanephric distal tubule morphogenesis,BIOP
GO:0007285,13.822769974444292,1.0,primary spermatocyte growth,BIOP
GO:0110121,13.822769974444292,1.0,gamma-tubulin complex localization to cytoplasmic side of mitotic spindle pole body,BIOP
GO:0015937,13.822769974444292,1.0,coenzyme A biosynthetic process,BIOP
GO:0021835,13.822769974444292,1.0,chemoattraction involved in embryonic olfactory bulb interneuron precursor migration,BIOP
GO:1904233,13.822769974444292,1.0,negative regulation of aconitate hydratase activity,BIOP
GO:0006433,13.723234300893377,0.9927991514193655,prolyl-tRNA aminoacylation,BIOP
