,iic
angiotensinogen,1.0
angular,1.0
anhidrotic,1.0
anhydrases,1.0
animal,0.5942076379691466
anion,0.5925089525282403
anisomycin,0.96533666264665
anisotropic,1.0
ankyrin,0.760962556534255
ankyrins,1.0
annealing,0.8071060222623642
annexins,1.0
annular,1.0
annulus,1.0
anoctamins,1.0
anoikis,0.96738460854899
anorectum,1.0
another,0.5488842220162928
anoxia,0.9652561163477827
ansamycin,0.9851280625882967
antagonism,1.0
antagonist,1.0
antenna,0.7434461510438677
antennal,1.0
anterior,0.8278957262640078
anterograde,0.773528951440538
anther,0.9620583670519589
anthocyanin,0.9422565930606127
anthranilate,0.977708188262147
anthrax,1.0
antibacterial,0.971831050599892
antibiotic,0.7022879227114894
antibody,0.7664332614386399
anticlinal,1.0
anticoagulant,1.0
anticonvulsant,1.0
antidepressant,0.9539630201578276
antifungal,0.9814343603071005
antigen,0.5804220449555016
antigenic,0.8966594083503245
antimetabolite,1.0
antimicrobial,0.8374517567266815
antimonite,1.0
antimycin,0.9791919282315019
antineoplastic,1.0
antipodal,0.9686617038697145
antiporter,0.8577427250453598
antipsychotic,1.0
antisense,0.9739605222773813
antitermination,1.0
antiviral,0.7987749833751627
antp,0.8207219174006911
antral,0.9621723257336775
antrum,0.9437515235342984
anucleate,0.6169644096460405
aorta,0.9646404418304473
aortic,0.9790694990316657
ap,0.7888448755026631
apc,0.7020641080452955
apelin,1.0
aperture,1.0
apical,0.9439286137012439
apicomedial,1.0
apiogalacturonan,1.0
apiose,0.983565603416541
aplanospore,0.9799536548888202
apocarotenoid,0.9427488536453725
apocrine,1.0
apolipoprotein,0.8719970414406967
apolipoproteins,1.0
apolysis,1.0
apoptosis,0.699347074941852
apoptosome,0.9363898023643575
apoptotic,0.6844978014343895
apparatus,0.9472983264741154
appendage,0.7604455551664114
appendix,0.9311805898074622
appetite,0.9456974198051725
apposition,1.0
appressorium,0.9600470223826096
aprt,1.0
aquaporins,1.0
ar,1.0
arabinan,0.9721608481399434
arabinitol,1.0
arabinogalactan,0.9740881202369069
arabinose,0.9440162737649525
arabinotriose,1.0
arabitol,0.9713251328008022
arachidonate,0.7722043685256287
arachnoid,1.0
arborization,0.9684245318632644
arbuscular,1.0
arbuscule,0.9763041935073041
arbutin,1.0
arcade,1.0
arch,0.9807451546542777
archaeal,0.9042969538441347
architecture,0.8605449122300419
arcuate,0.965813755676564
area,1.0
arene,0.9667582951844693
areolar,1.0
arf,0.9797091492020341
arfgaps,1.0
arfgef,1.0
arginase,0.8941002561200556
arginine,0.9179513665286385
argininosuccinate,1.0
arginylation,1.0
argonaute,0.7874839570459056
arista,1.0
arm,0.979217338159134
armadillo,0.6165319558614263
arntl,1.0
aroclor,0.96533666264665
aromatase,1.0
aromatic,0.8155993637761796
arranged,0.7087279075087312
arrangement,0.49039234821202055
array,1.0
arrest,0.9852042975260261
arrestins,0.808627215707611
arsenate,1.0
arsenite,0.9727190546595998
arsonoacetate,0.983565603416541
arterial,0.8096273933622576
arteriole,0.9338115149966743
arteriosus,0.9712158945111631
artery,0.8867175929517637
arthopoda,1.0
arthroconidium,0.9606364949216322
arthrogryposis,1.0
arthropoda,0.8944919541611078
arthrospore,1.0
articular,0.9588658530516723
arugosin,0.9558665355638795
aryl,1.0
arylacetamide,1.0
arylamine,1.0
arylsulfatase,0.7322203558173861
arylsulfatases,1.0
asap,1.0
ascaroside,0.9791919282315019
ascending,0.970390166521367
ascorbate,1.0
ascospore,0.9854446807064468
ascus,0.9686617038697145
asexual,0.7372189632889338
asparaginase,1.0
asparagine,0.8671905830362078
aspartate,0.8341920700433642
asperfuranone,0.9817524817644263
asperthecin,0.9706503894844817
aspirin,1.0
aspyridone,0.9652561163477827
assembly,0.5475031081106382
assimilation,0.9454954165529992
associate,1.0
associated,0.5968708977718821
association,0.9748146980540021
associative,0.9247134689273593
astacins,1.0
astaxanthin,0.9738167808678452
aster,1.0
astral,0.9826123528488653
astrocyte,0.8495299601735156
astrocytic,1.0
asymmetric,0.8831739784232543
asymmetry,0.9519098769629838
asynchronous,1.0
atac,1.0
ataxia,1.0
atlastins,1.0
atorvastatin,1.0
atp,0.7068581030674989
atpase,0.8769209820451348
atpases,0.6111286168302397
atr,1.0
atrazine,0.9639905788546059
atresia,1.0
atretic,0.9289119883758482
atrial,0.9455614296639085
atrichoblast,0.9772375415524925
atrioventricular,0.8722436636485137
atrium,0.957352166389635
atrophins,1.0
atrophy,0.9532523020099896
atropine,1.0
atrx,1.0
attached,0.8766223441956116
attachment,0.9192257450665984
attack,0.9763041935073041
attenuation,0.9971864854651068
attraction,1.0
attractive,1.0
atypical,1.0
auditory,0.8178222045251747
augmin,1.0
aurka,1.0
aurone,0.9791919282315019
austinol,0.946739942046375
autism,1.0
autocrine,1.0
autodegradation,1.0
autoinducer,1.0
autointegration,1.0
autolysis,1.0
autonomic,0.9255176341968474
autonomous,0.978281516978709
autophagic,0.7492010572341297
autophagosome,0.9466108351191205
autophagy,0.7954008109194098
autophosphorylation,0.9659585955728112
autoprocessing,1.0
autosomal,1.0
autosome,1.0
autosumoylation,1.0
autoubiquitination,0.9813863117021857
auxiliary,1.0
auxin,0.9171558542270981
av,0.9576882564607236
avascular,1.0
averantin,0.9722206429082803
aversion,1.0
avoidance,0.964149541167395
avp,1.0
axial,0.9821155499420031
axillary,1.0
axin,0.8951635582049339
axis,0.7913174018369994
axl,1.0
axon,0.5642651077473991
axonal,0.695624489746267
axonemal,0.8962721184923161
axoneme,0.9864190519078238
axonogenesis,0.8096997647324933
azathioprine,1.0
azide,0.9716374532813619
azole,0.8488455659496793
b,0.7052343258952245
bacillithiol,0.9875037007339569
bacitracin,0.953587205859776
back,0.9734599070706841
backbone,1.0
background,0.97474861343199
backward,0.9564109262571703
bact,0.7240541810607892
bacteria,0.9906911102101892
bacterial,0.7962845712561215
bacteriochlorophyll,0.9529217823980676
bacteriocin,0.9743980569111922
bacteriophage,1.0
bacterium,0.910128472562078
baculoviral,1.0
baculum,1.0
bad,1.0
baf,0.8575083742536977
bag,0.98043683644903
bage,1.0
bak,1.0
balance,1.0
ballooning,1.0
band,0.9887245876125536
banded,1.0
bar,0.6320722414143859
baroreceptor,0.9673092091823609
barrier,0.8810212030186959
bartter,1.0
basal,0.8764105312059282
base,0.7277912542147783
based,0.7259134213214282
basement,0.9660775803144668
baseplate,1.0
basic,0.736564934539598
basidiospore,0.9821219363901934
basidium,0.96738460854899
basigin,1.0
basilar,1.0
basipetal,1.0
basket,0.9460677150576555
basolateral,0.9772375415524925
basonuclin,1.0
basophil,0.9525300826531207
basophilic,0.9699976023079457
bax,1.0
bbsome,1.0
bch,1.0
bckdh,1.0
bckdha,1.0
bckdhb,1.0
bcr,0.7645205729493338
bdnf,0.9626933361739061
beach,1.0
beaded,1.0
beak,1.0
beat,0.9812887680320387
beating,1.0
behavior,0.6234784524987877
behavioral,0.9504081455284814
beige,0.8813710666448368
ben,1.0
bend,0.9716374532813619
bending,0.9799536548888202
benefiting,1.0
benzene,0.9559026808968295
benzoate,0.9500875642812261
benzoic,0.9759961560615337
benzonitrile,1.0
benzyl,0.947609427008601
benzylpenicillin,0.984566626890801
berbamunine,0.9816358770186568
bergmann,1.0
bestrophins,1.0
beta,0.7773746841157047
betaine,0.8385268397856721
betz,0.9813404450828299
beyond,1.0
bi,0.9802844139904096
bicarbonate,1.0
bicellular,0.9721608481399434
bicistronic,1.0
bicoid,0.9710234838910612
bicyclic,0.9652875137207189
bicyclogermacrene,0.97474861343199
bicyclomycin,1.0
bid,1.0
bidirectional,1.0
bilateral,0.7838213182758852
bilayer,0.7204715251854696
bile,0.7714293342261423
biliary,1.0
bilirubin,1.0
bilobe,1.0
bim,1.0
bind,0.7574564893092998
binding,0.4651488110840364
binucleate,0.9123117331581696
biofilm,0.9250196671806007
biogenesis,0.38169232321750685
biogenic,0.6193818387143202
biological,0.09915633203012149
biology,0.5920732329679936
bioluminescence,0.9626933361739061
biomineral,0.850959156254063
biomineralization,1.0
biophotolysis,1.0
biopterin,1.0
biorientation,0.97474861343199
biosynthesis,0.6192685991647593
biosynthetic,0.40029585779995247
biosythesis,0.528337306459673
biotic,0.5087390517081133
biotidinase,1.0
biotin,0.84193607242874
biphenyl,0.9716374532813619
bipolar,0.8381379702612181
birth,0.9482281787381248
bismuth,0.96533666264665
bisphenol,0.978634488613058
bisphosphate,0.9467324749602849
bisphosphoglycerate,1.0
bistratified,0.8343103993589234
bitter,0.9729190909725316
bitufted,1.0
bivalent,1.0
bladder,0.9181036675896669
blast,1.0
blastconidium,1.0
blastemal,1.0
blasticidin,0.9801602705555061
blastoconidium,0.9558266435083861
blastocyst,1.0
blastoderm,0.9786375636202752
blastopore,1.0
blastospore,1.0
bleb,0.978281516978709
bleomycin,0.9759961560615337
blepharoplast,1.0
blindness,1.0
blink,1.0
blockage,1.0
blood,0.6614126185758614
blue,0.9293474853586466
bmal,1.0
bmf,1.0
bmp,0.9705118451289477
body,0.7570069844092532
boettcher,1.0
bolwig,1.0
bombesin,1.0
bond,1.0
bone,0.7014984449692517
borate,0.9777198183414697
border,0.7747249729996029
borneol,0.9716374532813619
bota,1.0
botb,1.0
botc,1.0
botd,1.0
bote,1.0
botf,1.0
botg,1.0
bottle,1.0
botulinum,1.0
bound,0.9840999847984605
boundary,0.8384222432008228
bounded,0.6336583382119089
bouquet,1.0
bouton,1.0
box,0.9683670141753941
bpi,1.0
br,1.0
brachiocephalic,1.0
bract,1.0
bradykinin,1.0
braf,1.0
brain,0.9086661561075356
brainstem,1.0
branch,0.9136931379513936
branched,0.8118961925028721
branchial,0.978634488613058
branching,0.830777996399007
branchiomeric,0.9739294365526888
branchiomotor,0.9563067519899161
brassinosteroid,0.9743514730778711
break,0.808693025180404
breakage,1.0
breakdown,0.8882673124248853
breast,0.9727441540088377
brefeldin,0.9791919282315019
brevianamide,1.0
brexanolone,0.9722206429082803
brichos,1.0
bridge,0.9626933361739061
bridging,0.7240541810607892
brisc,1.0
bristle,0.9626933361739061
broad,1.0
broken,1.0
bromodomain,0.8775319980138131
bromoxynil,1.0
bronchial,0.8773502280611779
bronchioalveolar,1.0
bronchiolar,1.0
bronchiole,1.0
bronchodilator,1.0
bronchus,0.9847862014328783
broncial,1.0
brood,0.9652561163477827
brown,0.8983088749158448
bruns,1.0
brush,0.770239616249842
btb,1.0
btd,1.0
btg,1.0
btk,1.0
btla,1.0
btn,0.7939595543887185
btrc,1.0
buccal,0.9593273295301493
bud,0.9435935070478721
budding,0.8718331654377054
built,0.6941285921434313
bulb,0.9690468764866537
bulbo,1.0
bulbus,1.0
bulged,0.8865962337736164
bulk,1.0
bundle,0.8737225446644582
buoyancy,1.0
burrowing,1.0
bursa,1.0
burst,0.9291329892236648
burster,1.0
bushy,0.9645740974154139
butanediol,0.9686955077480311
butanoate,1.0
butanol,0.9891406661726113
butirosin,0.9768538847553838
button,0.9710234838910612
butyrate,0.9679087806269688
butyrophilin,1.0
butyrophilins,1.0
butyrylation,1.0
bypass,0.6398672881246913
bzip,0.8846332580904535
c,0.8060860683884321
ca,0.7806791252869647
cable,0.9680941059493925
cadaverine,1.0
cadherin,0.9686617038697145
cadherins,0.6527678276578526
cadinene,0.97474861343199
cadmium,0.9567629663235523
caecum,1.0
caenorhabditis,1.0
caffeate,1.0
caffeine,0.9836595439215606
cajal,0.9514000721858679
calcidiol,0.8514983320111539
calciferol,1.0
calcification,0.9721608481399434
calcineurin,1.0
calciol,1.0
calcitonin,0.9396201955238652
calcitriol,1.0
calcium,0.6596946173081538
calleja,1.0
callose,0.9568736482463958
callosum,1.0
callus,1.0
calmodulin,0.9189579167289288
calnexin,0.929932888670311
caloric,0.9716374532813619
calpains,1.0
calponin,1.0
calreticulin,0.929932888670311
calvarial,1.0
calycin,0.7240541810607892
calyx,1.0
cam,0.8924443044216896
camalexin,0.9858079219960918
camk,1.0
camkii,1.0
camkiv,1.0
camkk,1.0
camp,0.9543398293083757
camptothecin,0.983565603416541
camsap,1.0
canal,0.5959892213439153
canalicular,1.0
canaliculus,1.0
cancer,0.7010372160076677
candelabrum,1.0
candesartan,1.0
candicidin,0.9441719443395205
cannabinoid,0.9836595439215606
canonical,0.951362848441173
canopy,1.0
cantu,1.0
cap,0.7981383078813994
capacitation,0.9791380963127041
capillary,0.8619792139598595
capped,0.7216662573213393
capping,0.947013458439706
caproate,1.0
caprolactam,0.9816358770186568
capsanthin,0.9768538847553838
capsazepine,0.9791919282315019
capsid,0.8653580909553704
capsorubin,0.9768538847553838
capsular,1.0
capsule,0.9472101889403483
carbamate,1.0
carbamoyl,0.9791919282315019
carbamoylation,1.0
carbapenem,0.97474861343199
carbazole,0.96533666264665
carbendazim,0.9791919282315019
carbohydrate,0.44947832737939175
carbon,0.8868099583326404
carbonic,1.0
carbonyl,1.0
carboplatin,1.0
carboxykinase,1.0
carboxyl,1.0
carboxylase,1.0
carboxylation,0.8224767153109547
carboxylesterases,1.0
carboxylic,0.43802285523268797
carboxypeptidases,1.0
carboxyterminal,1.0
carcinine,1.0
carcinoembryonic,0.7874839570459056
carcinoma,1.0
cardiac,0.7143185164497833
cardioblast,0.9453813764020569
cardiocyte,0.5433230014346457
cardiogenesis,1.0
cardiogenic,1.0
cardiolipin,0.9772632901142022
cardiomyocyte,1.0
cargo,0.7685409453125325
carnitine,0.9517804954997938
carnosine,0.9864190519078238
carotene,0.8578566578681122
carotenoid,0.8210308489292076
carotid,0.9665626280436238
carpel,1.0
carrier,0.4074642740803172
cartilage,0.920033051278671
cartwheel,1.0
cascade,0.6123047700027245
cascasde,1.0
casein,1.0
casparian,1.0
caspase,0.7899873688477389
cassette,0.6685543630460676
caste,0.9441719443395205
cat,1.0
catabolic,0.43251709141927075
catabolism,0.7085492891886673
catabolite,0.959118924401172
catagen,0.96738460854899
catalase,0.8941002561200556
catalytic,0.35591280599635333
catechin,0.9816358770186568
catechol,1.0
catecholamine,0.9135946357587619
catecholaminergic,0.9043711748582794
catenane,1.0
catenin,1.0
catenins,0.7205364320671281
cathepsins,1.0
cation,0.5467563868106653
caudal,0.8719446945390316
caudate,1.0
cause,0.7250894171903998
caused,1.0
causing,1.0
cava,1.0
caveola,1.0
caveolins,1.0
cavins,1.0
cavitation,0.9557239641021966
cavity,0.9606364949216322
cbaf,1.0
cbl,0.7806791252869647
cbla,1.0
cblb,1.0
cblif,1.0
cbm,1.0
cbs,1.0
cca,1.0
ccaat,1.0
ccc,1.0
cck,0.9892156767158665
ccm,1.0
cct,0.7930901167013304
cd,1.0
cdc,1.0
cdgsh,1.0
cdk,1.0
cdp,0.9884217596170005
cdsp,1.0
ce,0.8443569185418415
cea,1.0
cecum,1.0
ceiling,1.0
cell,0.0007888688209682916
cellobiose,0.969277774553318
cellodextrin,0.9378923565464848
cellooligosaccharide,0.9681480345152574
cellotriose,0.9626525132246618
cellular,0.14609098737435253
cellularization,0.8959939747154829
cellulases,1.0
cellulose,0.9518534402387075
cellulosome,0.9739294365526888
celsr,1.0
cement,1.0
cementoblast,1.0
cementocyte,1.0
cementum,1.0
cenpb,1.0
center,0.8795470337352472
central,0.564745123479661
centrilobular,1.0
centrin,1.0
centriolar,1.0
centriole,0.9668304024632737
centripetally,1.0
centroblast,1.0
centrocyte,1.0
centrolateral,1.0
centromere,0.9567385448990183
centromeric,0.9410057110101664
centrosomal,1.0
centrosome,0.8430994940794675
cephalic,1.0
cephalosporin,0.9755189345811741
cephamycin,0.9768538847553838
cer,1.0
ceramidases,1.0
ceramide,0.9035133658028397
cerebellar,0.9117627048576359
cerebellum,0.9882752076308313
cerebral,0.736605040311383
cerebrospinal,1.0
cerf,1.0
cernas,1.0
ceruleus,1.0
ceruloplasmin,1.0
cervix,0.9294595990221115
cesium,0.9716374532813619
cftr,1.0
cgas,1.0
cgmp,0.986470171825536
chaeta,0.9637461080004612
chain,0.638725616446975
chalcone,0.9691278768095908
chamber,0.8728094529550311
chandelier,0.9862477338467085
change,0.9118848171637988
channel,0.4739308805989453
chaperone,0.9366585117666187
chaperonins,1.0
characteristic,0.9509998992619335
charge,1.0
charged,1.0
chds,1.0
cheating,1.0
checkpoint,0.8045172864483291
chelation,1.0
chemerin,1.0
chemical,0.43114529455835604
chemiosmotic,1.0
chemoattraction,0.9383175254882753
chemokine,0.8750299132339238
chemokines,1.0
chemokinesis,0.9626933361739061
chemoreceptor,0.7718742652713423
chemorepellent,1.0
chemorepulsion,0.9391542395671301
chemosensitivity,1.0
chemosensory,0.8766254716935287
chemosynthesis,1.0
chemotactic,0.9837134245873349
chemotaxis,0.7110058786860537
chemotherapeutic,1.0
chemotropism,1.0
chiasma,1.0
chief,0.9374328650753496
chimeric,0.9751682284637185
chiral,0.9680811584069604
chitin,0.9733062340298912
chitinases,1.0
chitobiose,0.9759961560615337
chlamydospore,1.0
chloramphenicol,0.978634488613058
chlorate,0.97474861343199
chloride,0.833549198323753
chlorinated,0.8906639372093318
chlorobenzene,1.0
chlorophyll,0.8978254762864645
chlorophyllide,0.9791919282315019
chloroplast,0.9165521946021252
chloroquine,0.9759961560615337
chlororespiration,1.0
chodl,0.9876367286677655
choice,0.9637461080004612
cholangiocyte,0.9377896984169157
cholecystokin,1.0
cholecystokinin,0.9831061993677948
cholesterol,0.8726260531977728
choline,0.9194319581948637
cholinergic,0.8284852714493081
chondroblast,1.0
chondrocyte,0.9307047042323612
chondrodysplasias,1.0
chondroitin,0.7706912367352065
chordamesodermal,1.0
chordate,0.9836595439215606
chordin,1.0
chorion,1.0
chorionic,0.9639547983640165
chorismate,0.9394742650035142
choroid,0.9861626797553499
choroidal,1.0
chrebp,1.0
christianson,1.0
chromaffin,0.8997980766655626
chromate,0.97474861343199
chromatid,0.8891681018193788
chromatin,0.5855322105644828
chromatophore,1.0
chromobox,1.0
chromophil,0.9391589302896738
chromophobe,1.0
chromophore,1.0
chromoplast,1.0
chromosomal,0.9663338486576284
chromosome,0.7304457555897599
chronic,0.934427960710677
chrysobactin,0.9855227900607505
chylomicron,0.9809568976190591
chymotrypsin,1.0
chymotrypsins,1.0
ci,0.9872287547678339
cibarial,1.0
cichorine,1.0
ciliary,0.9785885516561724
ciliated,0.6889923512172109
ciliogenesis,1.0
cilium,0.8937960384223373
cingulate,1.0
cinnamic,0.9657332993916291
ciprofloxacin,1.0
circadian,0.6782652855572259
circle,0.987831417546297
circular,0.9836209564677785
circularization,1.0
circulating,0.8983256882061791
circulation,0.7496981319649313
circulatory,0.6766817694381967
circumferential,1.0
circumnutation,1.0
circumventricular,1.0
cisplatin,0.96533666264665
cisterna,0.9908927483097406
cisternal,0.96738460854899
cit,1.0
citrate,0.8667948606273833
citric,0.8675785750847399
citrulline,0.9788236096894797
cklf,1.0
cl,1.0
clamp,1.0
clarins,1.0
class,0.5498753514618165
classical,0.8100080973491062
clathrin,0.7693600884956654
claudins,1.0
claudius,1.0
clavulanic,0.9864190519078238
clear,1.0
clearance,0.7496810948767274
cleavage,0.8101591095313866
cleaveage,1.0
cleaved,1.0
cleaves,1.0
cleft,0.900288520695289
cleistothecium,0.974954712739334
climacteric,1.0
cloaca,1.0
cloacal,1.0
clock,0.6754893087961106
clopidogrel,1.0
clostridium,0.5060864114293412
closure,0.9355784036129442
clot,0.7966361142482921
clotting,0.7434461510438677
clozapine,1.0
clrc,1.0
clrs,0.5846969673305336
club,1.0
cluster,0.9037616140705792
clustered,1.0
clustering,0.7603258694826901
clypeus,1.0
cmg,0.7874839570459056
cmp,0.989048120820601
cnidocyte,1.0
cns,0.9667434993724267
co,1.0
coa,1.0
coactivator,1.0
coagulation,0.8549009633665708
coat,0.6994456109759898
coating,0.9232465526430956
coatomer,1.0
cobalamin,0.6367421909282895
cobalt,0.9772375415524925
cocaine,0.9631330089259161
cochaperones,1.0
cochlea,0.9169417746482988
cochlear,0.960041423910963
codeine,0.9795971189340175
coding,1.0
codon,1.0
coelomocyte,1.0
coenzyme,0.9684663455263804
cofactor,0.679413276183405
cognition,0.6993678072351147
cohesin,0.9689822984946207
cohesion,0.890472393079206
cointegrator,1.0
colanic,0.9759961560615337
cold,0.936900761396614
coli,1.0
colicin,0.9816358770186568
collagen,0.7346689699066767
collapse,1.0
collar,1.0
collateral,0.9599046215928219
collecting,0.8288259519595503
collectins,1.0
collenchyma,1.0
colliculus,1.0
colon,0.9184420796349201
colonial,0.9680811584069604
